15192005 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=46 aclk=7.64 vclk=863.34
15193013 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=42 aclk=7.64 vclk=863.34
15194023 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=43 aclk=7.64 vclk=863.34
15195033 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15196058 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=49 aclk=7.64 vclk=863.34
15197068 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=47 aclk=7.64 vclk=863.34
15198077 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15199103 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15200121 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=49 aclk=7.64 vclk=863.34
15201146 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15202172 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15203198 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=43 aclk=7.64 vclk=863.34
15204223 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15205235 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15206244 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15207251 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15208279 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
